Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Toronto,10,+1.6,12,15,44.4%,44.9,14.8,29,-2.8,9,114.2,17,112.7,16,-0.2,4,3,8,+4.1,7,120.7,20,116.6,10,+2.1
San Antonio,11,+1.5,16,11,59.3%,44.8,14.7,8,1.3,19,111.1,5,109.7,14,+0.1,5,2,11,+2.6,23,110.7,6,108.1,25,-4.2
Portland,12,+1.2,16,10,61.5%,43.9,13.9,5,2.1,5,117.7,27,116.5,21,-0.7,6,2,5,+5.7,5,121.9,19,116.2,3,+5.8
Indiana,13,+1.1,14,13,51.9%,43.7,14.4,18,-0.4,16,112.4,11,111.3,13,+0.2,3,4,17,-0.9,21,111.6,10,112.5,14,+1.1
New York,14,+0.2,13,15,46.4%,41.5,14.2,23,-1.2,24,108.2,3,108.0,1,+4.7,4,3,4,+6.3,18,111.8,2,105.6,1,+7.8
Atlanta,15,-0.3,11,15,42.3%,40.2,12.8,27,-1.8,17,112.4,16,112.7,12,+0.3,1,6,29,-12.4,24,109.9,28,122.3,23,-3.6
Memphis,16,-0.9,11,11,50.0%,38.8,10.4,11,0.6,20,110.6,13,111.4,6,+2.1,3,5,24,-3.5,12,115.9,26,119.5,13,+1.4
Golden State,17,-0.9,14,13,51.9%,38.6,12.7,7,1.3,21,110.4,10,111.3,7,+1.6,3,4,13,+2.1,11,116.2,14,114.1,4,+5.4
Houston,18,-1.2,11,15,42.3%,37.9,12.0,22,-1.0,25,107.7,4,108.9,18,-0.3,2,6,25,-4.4,28,105.4,7,109.9,29,-8.1
Charlotte,19,-1.6,13,15,46.4%,36.9,12.6,14,0.4,18,111.5,19,113.1,3,+3.1,4,4,16,+0.7,10,117.7,21,117.0,6,+4.8
Dallas,20,-1.9,13,15,46.4%,36.4,12.4,12,0.6,8,114.7,28,116.5,26,-3.0,5,3,18,-1.5,4,123.5,29,125.0,27,-5.3
Chicago,21,-2.0,10,15,40.0%,35.9,10.9,21,-0.9,15,112.6,24,114.6,5,+2.6,3,4,9,+3.6,13,115.8,9,112.2,11,+1.8
New Orleans,22,-2.4,11,15,42.3%,35.2,11.2,16,-0.2,7,114.9,29,117.3,23,-1.1,4,4,15,+1.8,3,123.7,27,122.0,16,+0.8
Miami,23,-3.3,11,15,42.3%,32.4,10.3,9,0.7,26,107.5,8,110.8,30,-4.2,4,3,12,+2.5,25,109.8,4,107.3,20,-1.2
Detroit,24,-4.7,8,19,29.6%,29.2,9.6,26,-1.6,23,109.1,21,113.9,4,+2.9,3,4,26,-5.5,19,111.8,24,117.3,5,+4.9
Sacramento,25,-5.0,12,14,46.2%,28.9,9.2,2,2.8,12,113.1,30,118.1,25,-2.9,4,3,21,-2.3,16,113.3,17,115.6,18,-0.4
Oklahoma City,26,-5.5,11,15,42.3%,27.0,8.6,4,2.4,29,105.9,12,111.4,8,+1.5,3,5,20,-1.9,29,104.1,3,106.0,7,+4.8
Washington,27,-6.3,7,17,29.2%,25.7,7.5,20,-0.5,22,109.4,26,115.7,28,-3.1,3,5,28,-12.2,30,103.5,18,115.7,28,-6.0
Orlando,28,-7.1,10,18,35.7%,23.6,8.1,6,1.9,28,106.3,20,113.3,29,-4.2,2,5,27,-10.1,26,106.9,22,117.0,21,-2.4
Minnesota,29,-8.3,7,20,25.9%,21.3,7.0,15,-0.0,27,106.6,25,114.8,24,-1.7,2,6,19,-1.6,20,111.8,13,113.4,9,+2.5
Cleveland,30,-8.8,10,18,35.7%,20.1,6.9,1,3.1,30,105.3,22,114.1,26,-3.0,1,7,30,-20.2,27,106.7,30,127.0,30,-11.0
